date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:12	3142/3142	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-c46%22	http://www.fbadsformula.co/images/name2.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/name2.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:13	3481/3481	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-d99%22	http://www.fbadsformula.co/images/phone2.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/phone2.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:13	771371/771371	---M--	200	added ('OK')	image/png	etag:%22d7a90c541b95acf162de097574effc0d%22	http://www.fbadsformula.co/hosted/images/1c/1dd90c274c47ebb2b6531114553307/Untitled-design-5-.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/hosted/images/1c/1dd90c274c47ebb2b6531114553307/Untitled-design-5-.png	(from https://www.fbadsformula.co/launch-page-1)
14:59:13	3133/3133	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-c3d%22	http://www.fbadsformula.co/images/address2.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/address2.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:14	3100/3100	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-c1c%22	http://www.fbadsformula.co/images/email3.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/email3.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:14	3133/3133	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-c3d%22	http://www.fbadsformula.co/images/name3.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/name3.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:15	3441/3441	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-d71%22	http://www.fbadsformula.co/images/phone3.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/phone3.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:15	3115/3115	---M--	200	added ('OK')	image/png	etag:%225e2bc4d8-c2b%22	http://www.fbadsformula.co/images/address3.png	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/images/address3.png	(from http://www.fbadsformula.co/assets/lander.css)
14:59:15	650/650	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Dec%202019%2019:21:11%20GMT	http://www.fbadsformula.co/assets/editor/cf-editor-dropdown-4182a839922e40b7da576cba5169cd7ec5532005c7ebdb98a488a9b0cace665e.svg	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/assets/editor/cf-editor-dropdown-4182a839922e40b7da576cba5169cd7ec5532005c7ebdb98a488a9b0cace665e.svg	(from http://www.fbadsformula.co/assets/lander.css)
14:59:16	3536/3536	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e2bc4d8-dd0%22	http://www.fbadsformula.co/fonts/vjs.eot	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/fonts/vjs.eot	(from http://www.fbadsformula.co/assets/lander.css)
14:59:16	3536/3536	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e2bc4d8-dd0%22	http://www.fbadsformula.co/fonts/vjs.eot?	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/fonts/vjsd41d.eot	(from http://www.fbadsformula.co/assets/lander.css)
14:59:16	4228/4228	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225e2bc4d8-1084%22	http://www.fbadsformula.co/fonts/vjs.woff	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/fonts/vjs.woff	(from http://www.fbadsformula.co/assets/lander.css)
14:59:17	3372/3372	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225e2bc4d8-d2c%22	http://www.fbadsformula.co/fonts/vjs.ttf	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/fonts/vjs.ttf	(from http://www.fbadsformula.co/assets/lander.css)
14:59:17	1402/1402	---MC-	200	added ('OK')	application/octet-stream	date:Mon,%2027%20Jan%202020%2009:29:15%20GMT	http://www.fbadsformula.co/assets/.../fonts/vjs.svg	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/assets//fonts/vjs.svg	(from http://www.fbadsformula.co/assets/lander.css)
14:59:18	107/107	---MC-	302	error ('Found')	text/html	date:Mon,%2027%20Jan%202020%2009:29:16%20GMT	https://www.fbadsformula.co/GET	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/GET.45.delayed	(from http://www.fbadsformula.co/assets/userevents/application.js)
14:59:19	107/107	---MC-	302	error ('Found')	text/html	date:Mon,%2027%20Jan%202020%2009:29:17%20GMT	https://www.fbadsformula.co/POST	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/POST	(from https://connect.facebook.net/en_US/fbevents.js)
15:00:29	3169850/3169850	---M--	200	added ('OK')	image/gif	etag:%222d92b791050df700b1b2de81c4b3ac27%22	http://www.fbadsformula.co/hosted/images/27/3c197b8ba74e3fab90341dabf979dc/ezgif.com-gif-maker.gif	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/hosted/images/27/3c197b8ba74e3fab90341dabf979dc/ezgif.com-gif-maker.gif	(from https://www.fbadsformula.co/launch-page-1)
15:00:30	16416/16416	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2027%20Jan%202020%2009:30:28%20GMT	https://player.vimeo.com/api/player.js	C:/My%20Web%20Sites/funnel%20copy/player.vimeo.com/api/player.js	(from http://www.fbadsformula.co/assets/lander.js)
15:00:31	2318/2318	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2009:30:28%20GMT	https://www.fbadsformula.co/;path=/	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/;path=/index.html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:33	107/107	---MC-	302	error ('Found')	text/html	date:Mon,%2027%20Jan%202020%2009:30:31%20GMT	https://www.fbadsformula.co/	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/index.html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:33	2142/2142	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2009:30:31%20GMT	https://www.fbadsformula.co/mediaelement-flash-video.swf	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/mediaelement-flash-video.html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:37	616746/616746	---M-Z	200	added ('OK')	application/javascript	etag:%225e2b4df9-23a4c%22	http://fast.wistia.net/assets/external/E-v1.js	C:/My%20Web%20Sites/funnel%20copy/fast.wistia.net/assets/external/E-v1.js	(from http://www.fbadsformula.co/assets/lander.js)
15:00:37	0/-1	---M--	302	error ('')			https://www.fbadsformula.co/GET	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/GET.4d.delayed	(from http://www.fbadsformula.co/assets/lander.js)
15:00:37	65400/65400	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e1a9a19-ff78%22	https://js.recurly.com/v3/recurly.js	C:/My%20Web%20Sites/funnel%20copy/js.recurly.com/v3/recurly.js	(from http://www.fbadsformula.co/assets/lander.js)
15:00:37	168599/168599	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4939-29297%22	https://cdnjs.cloudflare.com/ajax/libs/flv.js/1.3.2/flv.min.js	C:/My%20Web%20Sites/funnel%20copy/cdnjs.cloudflare.com/ajax/libs/flv.js/1.3.2/flv.min.js	(from http://www.fbadsformula.co/assets/lander.js)
15:00:37	231359/231359	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4950-387bf%22	https://cdnjs.cloudflare.com/ajax/libs/hls.js/0.7.11/hls.min.js	C:/My%20Web%20Sites/funnel%20copy/cdnjs.cloudflare.com/ajax/libs/hls.js/0.7.11/hls.min.js	(from http://www.fbadsformula.co/assets/lander.js)
15:00:38	107/107	---MC-	302	error ('Found')	text/html	date:Mon,%2027%20Jan%202020%2009:30:36%20GMT	https://www.fbadsformula.co/Fennec/	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/Fennec/index.html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:38	107/107	---MC-	302	error ('Found')	text/html	date:Mon,%2027%20Jan%202020%2009:30:36%20GMT	https://www.fbadsformula.co/Firefox/	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/Firefox/index.html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:39	2142/2142	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2009:30:37%20GMT	https://www.fbadsformula.co/Firebase.onDisconnect().set	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/Firebase.onDisconnect().html	(from http://www.fbadsformula.co/assets/lander.js)
15:00:40	2142/2142	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2009:30:37%20GMT	https://www.fbadsformula.co/Firebase.set	C:/My%20Web%20Sites/funnel%20copy/www.fbadsformula.co/Firebase.html	(from http://www.fbadsformula.co/assets/lander.js)
